kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw.5.sm_52.ptx 69 : 2016 10080 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 68 : 2016 8064 0 2016 2016 0 0 0 0 
nw.5.sm_52.ptx 67 : 2016 12096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 66 : 2016 18144 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 65 : 2016 12096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 64 : 2016 8064 0 2016 2016 0 0 0 0 
nw.5.sm_52.ptx 63 : 2016 12096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 62 : 2016 18144 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 60 : 2016 20160 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 59 : 2016 18144 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 102 : 64 320 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 101 : 64 384 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 100 : 64 384 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 87 : 64 320 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 212 : 512001 2560005 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 211 : 512001 24044197 119264 0 0 512001 388962 0 0 
nw.5.sm_52.ptx 210 : 512001 4608011 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 209 : 512001 4608013 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 208 : 512001 4608010 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 207 : 512001 4608014 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 206 : 512001 4608011 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 192 : 258048 118797296 6485632 0 0 258048 258048 0 0 
nw.5.sm_52.ptx 171 : 258048 20704599 377056 0 0 258048 258048 0 0 
nw.5.sm_52.ptx 191 : 258048 2322434 0 0 0 0 0 0 0 
