kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
align.1.sm_60.ptx 100 : 124 5611 0 0 0 115 115 0 0 
align.1.sm_60.ptx 99 : 124 5716 0 0 0 115 115 0 0 
align.1.sm_60.ptx 103 : 526593 3073669 0 0 0 0 0 0 0 
align.1.sm_60.ptx 97 : 526593 3248528 0 0 0 0 0 0 115 
align.1.sm_60.ptx 96 : 526593 11744850 0 0 0 0 0 0 0 
align.1.sm_60.ptx 95 : 526593 115402491 0 0 0 18441 18441 0 0 
align.1.sm_60.ptx 94 : 526593 81017391 0 0 0 526593 18441 0 0 
align.1.sm_60.ptx 93 : 526593 17166401 0 0 0 0 0 0 0 
align.1.sm_60.ptx 92 : 526593 4886020 0 0 0 0 0 0 0 
align.1.sm_60.ptx 91 : 526593 10576305 0 0 0 0 0 0 0 
align.1.sm_60.ptx 90 : 526593 76186218 0 0 0 526593 18441 0 0 
align.1.sm_60.ptx 89 : 526593 6778516 0 0 0 0 0 0 0 
align.1.sm_60.ptx 88 : 526593 4758742 0 0 0 0 0 0 0 
align.1.sm_60.ptx 87 : 526593 7651408 0 0 0 0 0 0 0 
align.1.sm_60.ptx 86 : 526593 3459293 0 0 0 0 0 0 0 
align.1.sm_60.ptx 85 : 526593 18656090 0 0 0 0 0 0 0 
align.1.sm_60.ptx 84 : 526593 6337201 0 0 0 0 0 0 0 
align.1.sm_60.ptx 83 : 526593 76843880 0 0 0 526593 18441 0 0 
align.1.sm_60.ptx 82 : 526593 3194522 0 0 0 0 0 0 0 
align.1.sm_60.ptx 81 : 526593 6599808 0 0 0 0 0 0 0 
align.1.sm_60.ptx 80 : 526593 130227483 32 0 0 19317 18441 0 0 
align.1.sm_60.ptx 79 : 526593 126117598 0 0 0 33437 18441 0 0 
align.1.sm_60.ptx 78 : 526593 4739497 0 0 0 0 0 0 0 
align.1.sm_60.ptx 77 : 526593 4189055 0 0 0 0 0 0 0 
align.1.sm_60.ptx 76 : 526593 3689651 0 0 0 0 0 0 0 
align.1.sm_60.ptx 75 : 526593 4740329 0 0 0 0 0 0 0 
align.1.sm_60.ptx 74 : 526593 3242815 0 0 0 0 0 0 0 
align.1.sm_60.ptx 73 : 526593 3242975 0 0 0 0 0 0 0 
align.1.sm_60.ptx 72 : 526593 3215455 0 0 0 0 0 0 0 
align.1.sm_60.ptx 71 : 526593 4800261 0 0 0 0 0 0 0 
align.1.sm_60.ptx 70 : 526593 3305756 0 0 0 0 0 0 0 
align.1.sm_60.ptx 69 : 526593 3160422 0 0 0 0 0 0 0 
align.1.sm_60.ptx 68 : 526593 4739337 0 0 0 0 0 0 0 
align.1.sm_60.ptx 67 : 526593 43130316 0 0 0 526593 18441 0 0 
align.1.sm_60.ptx 46 : 526593 4984429 0 0 0 0 0 0 0 
align.1.sm_60.ptx 45 : 526593 6173834 0 0 0 0 0 0 0 
align.1.sm_60.ptx 44 : 526593 5241920 0 0 0 0 0 0 0 
align.1.sm_60.ptx 43 : 526593 3073188 0 0 0 0 0 0 0 
align.1.sm_60.ptx 42 : 526593 3134226 0 0 0 0 0 0 0 
align.1.sm_60.ptx 41 : 526593 3211812 0 0 0 0 0 0 0 
align.1.sm_60.ptx 40 : 526593 3273457 0 0 0 0 0 0 0 
align.1.sm_60.ptx 39 : 526593 3247718 0 0 0 0 0 0 0 
align.1.sm_60.ptx 38 : 526593 5426641 0 0 0 0 0 0 0 
align.1.sm_60.ptx 37 : 526593 7321231 0 0 0 0 0 0 0 
align.1.sm_60.ptx 32 : 526593 6028043 0 0 0 0 0 0 0 
align.1.sm_60.ptx 31 : 526593 3275731 0 0 0 0 0 0 0 
align.1.sm_60.ptx 33 : 526593 8032842 0 0 0 0 0 0 0 
align.1.sm_60.ptx 34 : 526593 7874592 0 0 0 0 0 0 0 
align.1.sm_60.ptx 35 : 526593 8436956 0 0 0 0 0 0 0 
align.1.sm_60.ptx 36 : 526593 7796870 0 0 0 0 0 0 0 
align.1.sm_60.ptx 47 : 526593 3366453 0 0 0 0 0 0 0 
align.1.sm_60.ptx 48 : 526593 5072423 0 0 0 0 0 0 0 
align.1.sm_60.ptx 49 : 526593 4798217 0 0 0 0 0 0 0 
align.1.sm_60.ptx 50 : 526593 4739593 0 0 0 0 0 0 0 
align.1.sm_60.ptx 51 : 526593 5346641 0 0 0 0 0 0 0 
align.1.sm_60.ptx 52 : 526593 5280070 0 0 0 0 0 0 0 
align.1.sm_60.ptx 53 : 526593 4856266 0 0 0 0 0 0 0 
align.1.sm_60.ptx 54 : 526593 5382859 0 0 0 0 0 0 0 
align.1.sm_60.ptx 55 : 526593 4860490 0 0 0 0 0 0 0 
align.1.sm_60.ptx 56 : 526593 5384811 0 0 0 0 0 0 0 
align.1.sm_60.ptx 57 : 526593 4975373 0 0 0 0 0 0 0 
align.1.sm_60.ptx 58 : 526593 4853047 0 0 0 0 0 0 0 
align.1.sm_60.ptx 59 : 526593 192521061 224 0 0 526593 18441 0 0 
align.1.sm_60.ptx 60 : 526593 4739337 0 0 0 0 0 0 0 
align.1.sm_60.ptx 61 : 526593 3159733 0 0 0 0 0 0 0 
align.1.sm_60.ptx 62 : 526593 3159829 0 0 0 0 0 0 0 
align.1.sm_60.ptx 63 : 526593 3160050 0 0 0 0 0 0 0 
align.1.sm_60.ptx 64 : 526593 3160633 0 0 0 0 0 0 0 
align.1.sm_60.ptx 65 : 526593 4741647 0 0 0 0 0 0 0 
align.1.sm_60.ptx 66 : 526593 5010031 0 0 0 0 0 0 0 
